Company,Headquarters,Served_countries,Number of locations,Number of employees
7-Eleven,Japan United States,"Australia, Canada, China, Cambodia, Denmark, Hong Kong, Israel, Macau, Malaysia, Mexico, Norway, Philippines, Singapore, South Korea, Sweden, Taiwan, Thailand",84500.0,170000.0
Aeon,Japan,"Australia, Cambodia, China, Hong Kong, India, Indonesia, Laos, Malaysia, Mongolia, Philippines, Singapore, South Korea, Taiwan, Thailand, Vietnam",20008.0,560000.0
Ahold Delhaize,Netherlands,"Belgium (as Albert Heijn and Delhaize), Czech Republic (as Albert), Greece (as Alfa-Beta Vassilopoulos), Indonesia (as Super Indo), Netherlands (as Albert Heijn, Gall&Gall and Etos), Luxembourg (as Delhaize), Portugal (as Pingo Doce), Romania (as Mega Image), Serbia (as Maxi), United States (as Food Lion, Giant, Hannaford, Stop & Shop)",7659.0,375000.0
Aldi Nord,Germany,"Belgium, Denmark, France, Luxembourg, Netherlands, Poland, Portugal, Spain, United States (branded as Trader Joe's)",5241.0,72811.0
Aldi Süd,Germany,"Australia, Austria (as Hofer), China, Hungary, Ireland, Italy, Slovenia (as Hofer), Switzerland, United Kingdom, United States",7178.0,201361.0
Aldi,Germany (Süd and Nord),"Australia (Süd), Austria (Süd as Hofer), China (Süd), Hungary (Süd), Ireland (Süd), Italy (Süd), Slovenia (Süd as Hofer), Switzerland (Süd), United Kingdom (Süd), United States (Süd), Belgium (Nord), Denmark (Nord), France (Nord), Luxembourg (Nord), Netherlands (Nord), Poland (Nord), Portugal (Nord), Spain (Nord), United States (Nord branded as Trader Joe's)",,274172.0
Edeka,Germany,Denmark,13646.0,381000.0
Extra,Germany,,,9700.0
Tengelmann Group,Germany,,4170.0,72714.0
Minimal,Germany,Poland,1500.0,
Auchan,France,"Spain, Luxembourg, Italy, Portugal, Poland, Romania, Hungary, Russia, Ukraine, Taiwan, Senegal, Côte d’Ivoire, Mauritania, Tajikistan, Tunisia",2101.0,160407.0
Big C,Thailand,"Laos, Vietnam",1234.0,27000.0
Billa,Austria,"Bulgaria, Czech Republic, Slovakia",3645.0,76174.0
BİM,Turkey,"Morocco, Egypt",10330.0,37439.0
Carrefour,France,"Algeria, Argentina, Armenia, Bahrain, Belgium, Brazil, Cameroon, China, Cyprus, Dominican Republic, Egypt, Georgia, Indonesia, Irak, Israel, Italy, Ivory Coast, Jordan, Kenya, Kuwait, Lebanon, Morocco, Oman, Pakistan (""Hyper Star""), Poland, Qatar, Romania, Saudi Arabia, Senegal, Spain, Taiwan, The Bahamas, Tunisia, Turkey, Uganda, United Arab Emirates",13894.0,319565.0
Champion,France,"Belgium, Spain, Poland, Greece, Turkey, Argentina, Brazil",,45000.0
Casino,France,"Argentina (Grupo Éxito), Brazil (GPA), Cameroon (Bao), Colombia (Grupo Éxito), Uruguay (Grupo Éxito)",10800.0,196307.0
CBA,Hungary,"Bulgaria, Croatia, Czech Republic, Lithuania, Poland, Romania, Serbia, Slovakia",5203.0,30000.0
Cencosud,Chile,"Argentina, Brazil, Colombia, Peru",1471.0,126530.0
Chedraui,Mexico,United States,262.0,38000.0
Conad,Italy,"Albania, China, Kosovo, Malta, San Marino",3410.0,32000.0
Co-op Atlantic,Atlantic Canada,,,
Coop amba,Denmark,,,36000.0
Coop Hungary,Hungary,,5000.0,32000.0
Coop Italia,Italy,San Marino,1444.0,56682.0
Coop Nederlands,Netherlands,,242.0,
Coop Norge,Norway,,,2564.0
Coop (Puerto Rico),Puerto Rico,,,
Coop (Sweden),Sweden,,,
